,iarp_prediction
2015-03-01,320.9142575439614
2015-04-01,336.2768949110602
2015-05-01,272.3555467000547
2015-06-01,276.36360627318993
2015-07-01,302.4827309127866
2015-08-01,298.2542464978119
2015-09-01,321.82444923713115
2015-10-01,447.24580100647154
2015-11-01,396.90644807568185
2015-12-01,425.2708038575113
2016-01-01,477.8835369799273
2016-02-01,483.1613809541775
2016-03-01,436.1181093592551
2016-04-01,327.2779529527472
2016-05-01,368.01487382979514
2016-06-01,401.71007099695225
2016-07-01,373.8291292643336
2016-08-01,359.08606902305615
2016-09-01,328.08246270801317
2016-10-01,343.797609616072
2016-11-01,321.3396890422984
2016-12-01,304.9119218437516
2017-01-01,323.64300321932944
2017-02-01,295.8296459491461
2017-03-01,238.30495725427295
2017-04-01,238.13212059457658
2017-05-01,232.17437992544677
2017-06-01,286.29837827978145
2017-07-01,262.320236937495
2017-08-01,250.79345646665095
2017-09-01,243.87503021280986
2017-10-01,255.04586612399828
2017-11-01,265.5097620855334
2017-12-01,254.70334761719005
2018-01-01,244.8067651241018
2018-02-01,239.0751083062248
2018-03-01,249.96801722037478
2018-04-01,234.12804241774083
2018-05-01,255.6852378090399
2018-06-01,285.3891565547271
2018-07-01,265.49342022640707
2018-08-01,264.62649319919296
2018-09-01,280.6115328385831
2018-10-01,318.6607493640038
2018-11-01,292.8543681587786
2018-12-01,322.2235865395006
2019-01-01,307.2507042683985
2019-02-01,292.2602497490466
2019-03-01,293.9731497591774
2019-04-01,270.93835033257795
2019-05-01,270.5973089030574
2019-06-01,264.0867148159713
2019-07-01,246.66445352927718
2019-08-01,227.73436229372982
2019-09-01,243.6240581012518
2019-10-01,230.185903451327
2019-11-01,235.85696256644934
2019-12-01,251.95268358401037
2020-01-01,239.76076005800007
2020-02-01,237.7961093483287
2020-03-01,221.44454760316273
2020-04-01,341.05346918227866
2020-05-01,386.75926724665385
2020-06-01,367.45980403145984
2020-07-01,342.13391380490646
2020-08-01,352.24487237393475
2020-09-01,302.52605522049015
2020-10-01,310.21766428519624
2020-11-01,279.20941206517574
2020-12-01,250.21486540855497
2021-01-01,282.6322101725186
2021-02-01,308.5980278804592
2021-03-01,295.82984387037226
2021-04-01,254.83747785454176
2021-05-01,201.56798888852663
2021-06-01,234.64484153109626
2021-07-01,269.81707654224255
2021-08-01,277.955865645704
2021-09-01,270.84796017552134
2021-10-01,299.74580398064995
2021-11-01,317.36817547881924
2021-12-01,314.0068799987923
2022-01-01,332.4597429011967
2022-02-01,325.16626440603665
2022-03-01,320.1761939548389
2022-04-01,294.4585955480792
2022-05-01,289.66974509497214
2022-06-01,314.65532325381474
2022-07-01,304.18911683237013
2022-08-01,297.3707459150381
2022-09-01,252.03979129722634
2022-10-01,265.4004068883076
2022-11-01,214.8561352869665
2022-12-01,175.95823682165758
2023-01-01,204.91513295156673
2023-02-01,227.09341169649704
2023-03-01,251.65206248297386
2023-04-01,249.66234700821298
2023-05-01,235.53585860031058
2023-06-01,253.88890032254096
2023-07-01,238.98160993928855
2023-08-01,245.11945394307776
2023-09-01,244.61710164211647
2023-10-01,244.13043049405235
2023-11-01,239.57765164089858
2023-12-01,227.46631918696434
2024-01-01,221.16596849914342
2024-02-01,224.56224489124008
2024-03-01,225.045697253122
2024-04-01,224.5452430476987
2024-05-01,220.97842438122854
2024-06-01,232.9921332321918
2024-07-01,243.4557485058079
2024-08-01,232.92046884465032
2024-09-01,230.40360008788886
2024-10-01,223.33857790223976
2024-11-01,233.4338359738904
2024-12-01,233.21572458559007
2025-01-01,235.2677600999616
2025-02-01,228.6211167990574
2025-03-01,220.83112176716386
2025-04-01,215.67980130559678
2025-05-01,214.8767915319307
2025-06-01,213.9052824090651
2025-07-01,204.0960358468613
2025-08-01,205.39460022185503
2025-09-01,207.50972267891143
